# Time-averaged data for fix strain
# TimeStep v_strain_33 v_strain_31 v_strain_32
0 -5.24342e-16 -3.49651e-16 -1.74861e-16
20000 0.00201393 -0.00143204 -0.000958806
40000 0.00388383 -0.0021896 -0.00190776
60000 0.00616799 -0.00270088 -0.00324015
80000 0.00805309 -0.00391446 -0.00371243
100000 0.0128682 -0.00582159 -0.00555435
120000 0.0228982 -0.00889133 -0.00826591
140000 0.0236708 -0.00875251 -0.0087885
160000 0.0253234 -0.00957753 -0.00883877
180000 0.0255549 -0.00924851 -0.00898445
200000 0.0262254 -0.00947705 -0.00917362
